R,G,B,Label
0,0,255,BLUE

217,192,24,YELLOW
116,93,138,VIOLET
218,190,6,YELLOW
40,43,63,VIOLET
225,193,0,YELLOW
33,31,53,VIOLET
230,199,2, YELLOW
37,39,62,VIOLET
229,197,0,YELLOW
31,27,48,VIOLET
236,208,12,YELLOW
32,32,54,VIOELT
231,203,0,YELLOW
10,6,10,VIOLET
217,188,1,YELLOW
76,79,111,VIOLET
209,183,2,YELLOW
90,64,103,VIOLET
230,204,17,YELLOW
136,90,177,VIOLET
231,204,19,YELLOW
145,92,190,VIOLET
231,206,23,YELLOW
171,118,214,VIOLET
230,206,24,YELLOW
143,102,184,VIOLET
231,206,22,YELLOW
93,95,132,VIOLET
56,124,99,GREEN
122,178,148,VIOLET
51,120,95,GREEN
234,119,53,ORANGE
48,117,91,GREEN
235,117,44,ORANGE
47,115,89,GREEN
236,128,74,ORANGE
52,120,95,GREEN
219,126,63,ORANGE
56,125,102,GREEN
234,147,87,ORANGE
51,119,94,GREEN
237,156,92,ORANGE
36,110,83,GREEN
99,70,49,ORANGE
62,78,137,BLUE
149,70,20,ORANGE
60,79,148,BLUE
171,76,30,ORANGE 
65,85,154,BLUE
69,86,157,BLUE
63,79,150,BLUE
233,144,80,ORANGE
67,86,157,BLUE
218,146,89,ORANGE
69,87,156,BLUE
167,73,9,ORANGE
71,89,158,BLUE
149,70,20,ORANGE
68,84,154,BLUE
73,92,119,BLACK
63,78,145,BLUE
46,58,77,BLACK
147,98,82,BROWN
26,35,49,BLACK
157,109,96,BROWN
173,187,193,DIRTY WHITE
156,116,111,BROWN
46,58,77,BLACK
151,109,103,BROWN
29,40,55,BLACK
143,95,83,BROWN
210,225,231,DIRTY WHITE
144,95,83,BROWN
218,236,237,DIRTY WHITE
144,97,87,BROWN
202,215,210,DIRTY WHITE
144,96,87,BROWN
140,149,144,DIRTY WHITE
143,96,87,BROWN
30,37,44,BLACK
144,91,78,BROWN
48,57,67,BLACK
221,96,19,ORANGE
207,220,234,DIRTY WHITE
239,110,35,ORANGE
159,111,95,BROWN
232,102,17,ORANGE
155,102,84,BROWN
229,109,49,ORANGE
145,105,97,BROWN
228,107,47,ORANGE
152,115,108,BROWN
237,109,33,ORANGE
167,145,153,BROWN
244,113,20,ORANGE
125,80,66,BROWN
246,114,21,ORANGE
119,73,56,BROWN
247,115,24,ORANGE
187,160,142,BROWN
244,115,29,ORANGE
205,177,156,BROWN
244,115,33,ORANGE
222,201,186,BROWN
239,113,37,ORANGE
195,185,176,BROWN
205,88,14,ORANGE
123,93,73,BROWN
54,39,62,VIOLET
150,121,93,BROWN
69,61,87,VIOLET
174,142,112,BROWN
67,58,83,VIOLET
210,182,148,BROWN
63,53,78,VIOLET
121,81,56,BROWN
61,53,80,VIOLET
119,81,60,BROWN
59,51,77,VIOLET
34,141,114,GREEN
81,82,109,VIOLET
38,138,116,GREEN
77,75,102,VIOLET
46,148,126,GREEN
77,74,101,VIOLET
22,109,85,GREEN
60,52,78,VIOLET
45,133,116,GREEN
61,54,80,VIOLET
35,129,110,GREEN
60,51,77,VIOLET
201,228,126,LIME GREEN
85,86,112,VIOLET
204,228,114,LIME GREEN
79,77,103,VIOLET
186,118,83,LIME GREEN
82,81,107,VIOLET
160,188,65,LIME GREEN
84,85,112,VIOLET
205,230,92,LIME GREEN
83,83,109,VIOLET
218,243,106,LIME GREEN
79,77,104,VIOLET
22,94,65,GREEN
79,77,105,VIOLET
10,91,60,GREEN
81,79,108,VIOLET
11,85,56,GREEN
63,56,85,VIOLET
70,94,183,BLUE
190,75,88,RED
63,83,157,BLUE
206,93,106,RED
60,80,160,BLUE
207,90,102,RED
89,116,194,BLUE
173,67,78,RED
57,79,157,BLUE
206,90,104,RED
93,85,171,BLUE
198,73,89,RED
147,185,240,BLUE
209,88,101,RED
149,189,238,BLUE
201,95,110,RED
128,160,219,BLUE
193,84,96,RED
